symbol,baseAsset,quoteAsset,volume_24h_usd,rank,as_of
BTCUSDT,BTC,USDT,17715484850.84,1,2025-11-24 00:00:00+00:00
ETHUSDT,ETH,USDT,16300476149.32,2,2025-11-24 00:00:00+00:00
SOLUSDT,SOL,USDT,3900180384.0018,3,2025-11-24 00:00:00+00:00
XRPUSDT,XRP,USDT,1911642275.8424,4,2025-11-24 00:00:00+00:00
ZECUSDT,ZEC,USDT,1843024205.41,5,2025-11-24 00:00:00+00:00
DOGEUSDT,DOGE,USDT,954041273.83113,6,2025-11-24 00:00:00+00:00
TNSRUSDT,TNSR,USDT,890749379.959572,7,2025-11-24 00:00:00+00:00
PIPPINUSDT,PIPPIN,USDT,877545689.14788,8,2025-11-24 00:00:00+00:00
BNBUSDT,BNB,USDT,794458886.022,9,2025-11-24 00:00:00+00:00
HYPEUSDT,HYPE,USDT,539083378.90038,10,2025-11-24 00:00:00+00:00
PARTIUSDT,PARTI,USDT,458791455.18535,11,2025-11-24 00:00:00+00:00
SUIUSDT,SUI,USDT,439719312.3973,12,2025-11-24 00:00:00+00:00
TRADOORUSDT,TRADOOR,USDT,429454596.17,13,2025-11-24 00:00:00+00:00
ASTERUSDT,ASTER,USDT,364495063.6567,14,2025-11-24 00:00:00+00:00
1000PEPEUSDT,1000PEPE,USDT,356799969.5358426,15,2025-11-24 00:00:00+00:00
BANANAS31USDT,BANANAS31,USDT,316624575.922342,16,2025-11-24 00:00:00+00:00
MONUSDT,MON,USDT,290396031.41276,17,2025-11-24 00:00:00+00:00
PIEVERSEUSDT,PIEVERSE,USDT,286162173.6685,18,2025-11-24 00:00:00+00:00
AVAXUSDT,AVAX,USDT,267714558.765,19,2025-11-24 00:00:00+00:00
ADAUSDT,ADA,USDT,264322951.2246,20,2025-11-24 00:00:00+00:00
LINKUSDT,LINK,USDT,252917643.226,21,2025-11-24 00:00:00+00:00
FARTCOINUSDT,FARTCOIN,USDT,243116813.5754,22,2025-11-24 00:00:00+00:00
1000RATSUSDT,1000RATS,USDT,236296570.20847,23,2025-11-24 00:00:00+00:00
TRUSTUSDT,TRUST,USDT,217541492.7634,24,2025-11-24 00:00:00+00:00
BCHUSDT,BCH,USDT,215066298.78,25,2025-11-24 00:00:00+00:00
XPLUSDT,XPL,USDT,213470276.1183,26,2025-11-24 00:00:00+00:00
ENAUSDT,ENA,USDT,206086655.6172,27,2025-11-24 00:00:00+00:00
TAOUSDT,TAO,USDT,196109550.1,28,2025-11-24 00:00:00+00:00
LTCUSDT,LTC,USDT,194118182.18,29,2025-11-24 00:00:00+00:00
PAXGUSDT,PAXG,USDT,192994519.0636,30,2025-11-24 00:00:00+00:00
STRKUSDT,STRK,USDT,192186128.42621,31,2025-11-24 00:00:00+00:00
PUMPUSDT,PUMP,USDT,190267064.349654,32,2025-11-24 00:00:00+00:00
WLFIUSDT,WLFI,USDT,184933675.9281,33,2025-11-24 00:00:00+00:00
BOBUSDT,BOB,USDT,178418365.967284,34,2025-11-24 00:00:00+00:00
UNIUSDT,UNI,USDT,167589390.497,35,2025-11-24 00:00:00+00:00
HBARUSDT,HBAR,USDT,166749073.3067,36,2025-11-24 00:00:00+00:00
NEARUSDT,NEAR,USDT,148834435.31,37,2025-11-24 00:00:00+00:00
AAVEUSDT,AAVE,USDT,139381621.695,38,2025-11-24 00:00:00+00:00
FILUSDT,FIL,USDT,136954112.188,39,2025-11-24 00:00:00+00:00
ALLOUSDT,ALLO,USDT,117387960.1069,40,2025-11-24 00:00:00+00:00
