symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,2467036551.516549,,2020-09-01 00:00:00+00:00,30,2467036551.516549,1
ETHUSDT,825652587.7766532,,2020-09-01 00:00:00+00:00,30,825652587.7766532,2
LINKUSDT,552408420.1371843,,2020-09-01 00:00:00+00:00,30,552408420.1371843,3
XRPUSDT,154778754.359869,,2020-09-01 00:00:00+00:00,30,154778754.359869,4
BANDUSDT,150940505.87268388,,2020-09-01 00:00:00+00:00,30,150940505.87268388,5
BCHUSDT,129170783.8095242,,2020-09-01 00:00:00+00:00,30,129170783.8095242,6
SXPUSDT,124549110.59472357,,2020-09-01 00:00:00+00:00,30,124549110.59472357,7
XTZUSDT,123162680.58322582,,2020-09-01 00:00:00+00:00,30,123162680.58322582,8
LTCUSDT,119222013.11318903,,2020-09-01 00:00:00+00:00,30,119222013.11318903,9
KAVAUSDT,67284808.67113613,,2020-09-01 00:00:00+00:00,30,67284808.67113613,10
ADAUSDT,66430614.08809678,,2020-09-01 00:00:00+00:00,30,66430614.08809678,11
TRXUSDT,57767457.72915839,,2020-09-01 00:00:00+00:00,30,57767457.72915839,12
ALGOUSDT,51816490.4329142,,2020-09-01 00:00:00+00:00,30,51816490.4329142,13
ATOMUSDT,50651604.7534742,,2020-09-01 00:00:00+00:00,30,50651604.7534742,14
BNBUSDT,49255972.43099226,,2020-09-01 00:00:00+00:00,30,49255972.43099226,15
COMPUSDT,46313224.16243451,,2020-09-01 00:00:00+00:00,30,46313224.16243451,16
ZECUSDT,38513235.118830964,,2020-09-01 00:00:00+00:00,30,38513235.118830964,17
ETCUSDT,37028979.52726129,,2020-09-01 00:00:00+00:00,30,37028979.52726129,18
ZRXUSDT,34200999.44149968,,2020-09-01 00:00:00+00:00,30,34200999.44149968,19
VETUSDT,33105245.34829436,,2020-09-01 00:00:00+00:00,30,33105245.34829436,20
XLMUSDT,32249315.34331226,,2020-09-01 00:00:00+00:00,30,32249315.34331226,21
NEOUSDT,30897095.618768062,,2020-09-01 00:00:00+00:00,30,30897095.618768062,22
RLCUSDT,30205491.07417548,,2020-09-01 00:00:00+00:00,30,30205491.07417548,23
QTUMUSDT,26097382.52260645,,2020-09-01 00:00:00+00:00,30,26097382.52260645,24
THETAUSDT,25105608.097668067,,2020-09-01 00:00:00+00:00,30,25105608.097668067,25
BATUSDT,24740037.168779355,,2020-09-01 00:00:00+00:00,30,24740037.168779355,26
ONTUSDT,24289421.75934838,,2020-09-01 00:00:00+00:00,30,24289421.75934838,27
KNCUSDT,21133713.83181032,,2020-09-01 00:00:00+00:00,30,21133713.83181032,28
IOSTUSDT,17657031.945045516,,2020-09-01 00:00:00+00:00,30,17657031.945045516,29
XMRUSDT,16275839.946867421,,2020-09-01 00:00:00+00:00,30,16275839.946867421,30
ZILUSDT,15719434.996478386,,2020-09-01 00:00:00+00:00,30,15719434.996478386,31
