as_of,pool_size,metrics_count,selected_count,status,note
2022-01-01,86,0,0,no_metrics,insufficient_history
2022-02-01,86,0,0,no_metrics,insufficient_history
2022-03-01,86,0,0,no_metrics,insufficient_history
2022-04-01,86,0,0,no_metrics,insufficient_history
2022-05-01,86,0,0,no_metrics,insufficient_history
2022-06-01,86,0,0,no_metrics,insufficient_history
2022-01-01,532,93,40,saved,
2022-02-01,532,95,40,saved,
2022-03-01,532,96,40,saved,
2022-04-01,532,99,40,saved,
2022-05-01,532,101,40,saved,
2022-06-01,532,103,40,saved,
2019-01-01,532,0,0,no_metrics,insufficient_history
2019-02-01,532,0,0,no_metrics,insufficient_history
2019-03-01,532,0,0,no_metrics,insufficient_history
2019-04-01,532,0,0,no_metrics,insufficient_history
2019-05-01,532,0,0,no_metrics,insufficient_history
2019-06-01,532,0,0,no_metrics,insufficient_history
2019-07-01,532,0,0,no_metrics,insufficient_history
2019-08-01,532,0,0,no_metrics,insufficient_history
2019-09-01,532,0,0,no_metrics,insufficient_history
2019-10-01,532,0,0,no_metrics,insufficient_history
2019-11-01,532,1,1,saved,
2019-12-01,532,1,1,saved,
2020-01-01,532,2,2,saved,
2020-02-01,532,3,3,saved,
2020-03-01,532,10,9,saved,
2020-04-01,532,23,9,saved,
2020-05-01,532,23,9,saved,
2020-06-01,532,23,10,saved,
2020-07-01,532,24,9,saved,
2020-08-01,532,29,20,saved,
2020-09-01,532,34,31,saved,
2020-10-01,532,38,28,saved,
2020-09-01,0,0,0,skipped,file_exists
2020-10-01,0,0,0,skipped,file_exists
2020-11-01,532,48,25,saved,
2020-12-01,532,54,39,saved,
2021-01-01,532,57,36,saved,
2021-02-01,532,60,40,saved,
2021-03-01,532,63,40,saved,
2021-04-01,532,65,40,saved,
2021-05-01,532,76,40,saved,
2021-06-01,532,77,40,saved,
2021-07-01,532,78,40,saved,
2021-08-01,532,80,40,saved,
2021-09-01,532,80,40,saved,
2021-10-01,532,84,40,saved,
2021-11-01,532,89,40,saved,
2021-12-01,532,91,40,saved,
2022-01-01,0,0,0,skipped,file_exists
2022-02-01,0,0,0,skipped,file_exists
2022-03-01,0,0,0,skipped,file_exists
2022-04-01,0,0,0,skipped,file_exists
2022-05-01,0,0,0,skipped,file_exists
2022-06-01,0,0,0,skipped,file_exists
2022-07-01,532,104,40,saved,
2022-08-01,532,104,40,saved,
2022-09-01,532,104,40,saved,
2022-10-01,532,106,40,saved,
2022-11-01,532,111,40,saved,
2022-12-01,532,113,40,saved,
2023-01-01,532,113,40,saved,
2023-02-01,532,113,40,saved,
2023-03-01,532,117,40,saved,
2023-04-01,532,128,40,saved,
2023-05-01,532,134,40,saved,
2023-06-01,532,140,40,saved,
2023-07-01,532,143,40,saved,
2023-08-01,532,145,40,saved,
2023-09-01,532,150,40,saved,
2023-10-01,532,156,40,saved,
2023-11-01,532,158,40,saved,
2023-12-01,532,167,40,saved,
2024-01-01,532,182,40,saved,
2024-02-01,532,189,40,saved,
2024-03-01,532,196,40,saved,
2024-04-01,532,206,40,saved,
2024-05-01,532,212,40,saved,
2024-06-01,532,217,40,saved,
2024-07-01,532,220,40,saved,
2024-08-01,532,225,40,saved,
2024-09-01,532,226,40,saved,
2024-10-01,532,238,40,saved,
2024-11-01,532,253,40,saved,
2024-12-01,532,259,40,saved,
2025-01-01,532,278,40,saved,
2025-02-01,532,307,40,saved,
2025-03-01,532,324,40,saved,
2025-04-01,532,333,40,saved,
2025-05-01,532,357,40,saved,
2025-06-01,532,379,40,saved,
2025-07-01,532,399,40,saved,
